CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
50001,1,4.0,Mobile Phone,3,1.9459101490553132,Debit Card,Female,3.0,3,Laptop & Accessory,2,Single,2.302585092994046,1,11.0,0.6931471805599453,0.6931471805599453,1.791759469228055,5.081404364984463
50002,1,9.0,Mobile Phone,1,2.1972245773362196,UPI,Male,3.0,4,Mobile Phone,3,Single,2.0794415416798357,1,15.0,0.0,0.6931471805599453,0.0,4.804021044733257
50003,1,9.0,Mobile Phone,1,3.4339872044851463,Debit Card,Male,2.0,4,Mobile Phone,3,Single,1.9459101490553132,1,14.0,0.0,0.6931471805599453,1.3862943611198906,4.795790545596741
50004,1,0.0,Mobile Phone,3,2.772588722239781,Debit Card,Male,2.0,4,Laptop & Accessory,5,Single,2.1972245773362196,0,23.0,0.0,0.6931471805599453,1.3862943611198906,4.90527477843843
50005,1,0.0,Mobile Phone,1,2.5649493574615367,Credit Card,Male,3.0,3,Mobile Phone,5,Single,1.3862943611198906,0,11.0,0.6931471805599453,0.6931471805599453,1.3862943611198906,4.875197323201151
50006,1,0.0,Computer,1,3.1354942159291497,Debit Card,Female,3.0,5,Mobile Phone,5,Single,1.0986122886681098,1,22.0,1.6094379124341003,1.9459101490553132,2.0794415416798357,4.941642422609304
50007,1,9.0,Mobile Phone,3,2.4849066497880004,Cash on Delivery,Male,2.0,3,Laptop & Accessory,2,Divorced,1.6094379124341003,0,14.0,0.0,0.6931471805599453,0.0,4.804021044733257
50008,1,9.0,Mobile Phone,1,1.9459101490553132,Credit Card,Male,3.0,3,Mobile Phone,2,Divorced,1.3862943611198906,1,16.0,1.0986122886681098,1.0986122886681098,0.0,4.820281565605037
50009,1,13.0,Mobile Phone,3,2.302585092994046,E wallet,Male,3.0,4,Mobile Phone,3,Divorced,1.0986122886681098,1,14.0,0.0,0.6931471805599453,1.0986122886681098,4.852030263919617
50010,1,9.0,Mobile Phone,1,3.4657359027997265,Debit Card,Male,2.0,5,Mobile Phone,3,Single,1.0986122886681098,0,12.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,4.820281565605037
50011,1,4.0,Mobile Phone,1,2.9444389791664403,Cash on Delivery,Female,2.0,3,Others,3,Divorced,1.0986122886681098,0,15.0,2.302585092994046,2.772588722239781,2.1972245773362196,5.69035945432406
50012,1,11.0,Mobile Phone,1,1.9459101490553132,Debit Card,Male,3.0,4,Fashion,3,Single,2.3978952727983707,1,13.0,0.0,0.6931471805599453,0.0,5.043425116919247
50013,1,0.0,Mobile Phone,1,2.4849066497880004,Cash on Delivery,Male,2.0,3,Mobile Phone,3,Single,1.0986122886681098,1,13.0,1.0986122886681098,1.0986122886681098,1.0986122886681098,4.90527477843843
50014,1,0.0,Mobile Phone,1,2.772588722239781,Credit Card,Male,3.0,4,Mobile Phone,3,Divorced,0.6931471805599453,1,17.0,0.0,0.6931471805599453,0.0,4.90527477843843
50015,1,9.0,Mobile Phone,3,2.772588722239781,Credit Card,Male,3.0,4,Fashion,2,Single,1.0986122886681098,0,16.0,0.0,1.6094379124341003,2.0794415416798357,5.2832037287379885
50016,1,9.0,Mobile Phone,2,2.5649493574615367,UPI,Male,3.0,3,Mobile Phone,5,Married,1.791759469228055,1,22.0,0.6931471805599453,0.6931471805599453,1.0986122886681098,4.804021044733257
50017,1,0.0,Computer,1,2.5649493574615367,Debit Card,Female,3.0,4,Mobile Phone,2,Single,1.0986122886681098,1,18.0,0.6931471805599453,0.6931471805599453,0.0,4.867534450455582
50018,1,0.0,Mobile Phone,3,2.4849066497880004,E wallet,Male,2.0,4,Laptop & Accessory,3,Single,1.0986122886681098,1,11.0,0.6931471805599453,0.6931471805599453,1.3862943611198906,5.062595033026967
50019,1,0.0,Computer,1,2.6390573296152584,Debit Card,Male,3.0,5,Laptop & Accessory,3,Single,1.0986122886681098,1,24.0,0.6931471805599453,0.6931471805599453,1.9459101490553132,5.087596335232384
50020,1,19.0,Mobile Phone,1,3.044522437723423,Debit Card,Female,3.0,3,Mobile Phone,4,Divorced,2.3978952727983707,1,18.0,0.6931471805599453,1.6094379124341003,1.3862943611198906,5.017279836814924
50021,1,0.0,Mobile Phone,3,2.5649493574615367,Debit Card,Male,3.0,5,Laptop & Accessory,3,Divorced,1.791759469228055,1,18.0,1.9459101490553132,2.0794415416798357,2.0794415416798357,5.093750200806762
50022,1,20.0,Mobile Phone,1,3.4011973816621555,Credit Card,Female,3.0,3,Fashion,2,Divorced,1.0986122886681098,0,12.0,2.4849066497880004,2.772588722239781,1.9459101490553132,5.318119993844216
50023,1,9.0,Mobile Phone,3,3.367295829986474,E wallet,Male,2.0,3,Mobile Phone,3,Single,1.0986122886681098,1,19.0,0.0,0.6931471805599453,0.0,4.770684624465665
50024,1,0.0,Mobile Phone,3,3.295836866004329,Debit Card,Female,3.0,5,Laptop & Accessory,3,Divorced,1.6094379124341003,1,11.0,0.6931471805599453,1.0986122886681098,1.0986122886681098,4.990432586778736
50025,1,14.0,Computer,1,2.70805020110221,Debit Card,Male,2.0,5,Fashion,2,Single,1.3862943611198906,0,15.0,0.0,0.6931471805599453,1.3862943611198906,5.337538079701318
50026,1,0.0,Mobile Phone,1,2.772588722239781,Credit Card,Female,2.0,3,Mobile Phone,5,Single,2.1972245773362196,0,22.0,0.6931471805599453,0.6931471805599453,1.6094379124341003,4.962844630259907
50027,0,8.0,Mobile Phone,3,1.9459101490553132,E wallet,Male,3.0,3,Fashion,4,Divorced,1.0986122886681098,0,13.0,0.6931471805599453,0.6931471805599453,1.9459101490553132,5.159055299214529
50028,0,9.0,Mobile Phone,3,2.5649493574615367,E wallet,Male,2.0,3,Laptop & Accessory,3,Divorced,1.3862943611198906,1,20.0,0.0,1.6094379124341003,1.791759469228055,4.820281565605037
50029,0,18.0,Mobile Phone,1,2.70805020110221,Debit Card,Male,2.0,3,Laptop & Accessory,4,Married,2.302585092994046,0,18.0,0.6931471805599453,0.6931471805599453,2.772588722239781,4.820281565605037
50030,0,5.0,Computer,3,2.70805020110221,E wallet,Female,2.0,3,Fashion,2,Single,1.0986122886681098,0,14.0,1.0986122886681098,1.3862943611198906,2.0794415416798357,5.25227342804663
50031,0,2.0,Computer,1,1.9459101490553132,Cash on Delivery,Male,2.0,3,Laptop & Accessory,3,Divorced,1.0986122886681098,0,13.0,0.0,0.6931471805599453,2.302585092994046,4.969813299576001
50032,0,0.0,Mobile Phone,1,2.6390573296152584,Credit Card,Male,2.0,4,Laptop & Accessory,3,Divorced,1.3862943611198906,0,17.0,0.6931471805599453,0.6931471805599453,0.0,5.087596335232384
50033,0,30.0,Mobile Phone,1,2.772588722239781,Credit Card,Female,3.0,4,Mobile Phone,4,Divorced,1.791759469228055,1,20.0,0.6931471805599453,0.6931471805599453,0.0,4.897839799950911
50034,0,13.0,Mobile Phone,3,2.3978952727983707,E wallet,Male,3.0,4,Fashion,2,Divorced,2.1972245773362196,0,11.0,1.0986122886681098,1.0986122886681098,2.4849066497880004,5.3471075307174685
50035,0,9.0,Computer,3,2.1972245773362196,E wallet,Female,3.0,3,Mobile Phone,3,Divorced,2.0794415416798357,0,18.0,0.6931471805599453,0.6931471805599453,1.0986122886681098,4.812184355372417
50036,0,0.0,Mobile Phone,1,2.70805020110221,Credit Card,Male,3.0,3,Mobile Phone,2,Divorced,1.0986122886681098,0,24.0,0.0,1.0986122886681098,1.0986122886681098,4.820281565605037
50037,0,9.0,Computer,1,2.772588722239781,Credit Card,Male,2.0,3,Mobile Phone,4,Married,2.0794415416798357,0,18.0,0.0,1.0986122886681098,1.0986122886681098,4.795790545596741
50038,0,1.0,Mobile Phone,1,3.332204510175204,Credit Card,Male,3.0,3,Mobile Phone,2,Divorced,1.0986122886681098,0,11.0,0.0,0.6931471805599453,1.0986122886681098,4.852030263919617
50039,0,30.0,Mobile Phone,1,3.4339872044851463,Debit Card,Male,2.0,2,Fashion,2,Married,1.6094379124341003,1,16.0,0.6931471805599453,0.6931471805599453,1.6094379124341003,5.272999558563747
50040,0,0.0,Computer,1,2.70805020110221,Credit Card,Male,3.0,4,Mobile Phone,3,Married,1.0986122886681098,1,15.0,0.0,0.6931471805599453,0.6931471805599453,4.844187086458591
50041,0,23.0,Mobile Phone,1,2.8903717578961645,Debit Card,Female,2.0,3,Others,4,Single,1.6094379124341003,0,15.0,1.0986122886681098,1.6094379124341003,1.6094379124341003,5.703782474656201
50042,0,14.0,Mobile Phone,1,2.70805020110221,Debit Card,Male,2.0,3,Mobile Phone,3,Married,1.791759469228055,0,12.0,0.6931471805599453,0.6931471805599453,2.1972245773362196,4.836281906951478
50043,0,3.0,Mobile Phone,3,2.4849066497880004,Debit Card,Female,2.0,3,Fashion,2,Divorced,1.3862943611198906,0,12.0,1.0986122886681098,2.0794415416798357,1.6094379124341003,5.272999558563747
50044,0,11.0,Mobile Phone,3,1.9459101490553132,Debit Card,Female,2.0,4,Laptop & Accessory,2,Single,1.791759469228055,0,22.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,5.236441962829949
50045,0,5.0,Mobile Phone,1,2.5649493574615367,Debit Card,Male,3.0,3,Mobile Phone,3,Single,1.6094379124341003,0,20.0,0.0,0.6931471805599453,1.6094379124341003,4.875197323201151
50046,0,0.0,Mobile Phone,1,3.1780538303479458,Cash on Delivery,Male,3.0,3,Mobile Phone,4,Divorced,0.6931471805599453,1,16.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,4.882801922586371
50047,1,0.0,Computer,3,2.70805020110221,Cash on Delivery,Female,3.0,5,Mobile Phone,5,Single,0.6931471805599453,0,21.0,0.6931471805599453,0.6931471805599453,0.0,4.820281565605037
50048,0,9.0,Computer,1,2.302585092994046,Credit Card,Male,1.0,3,Mobile Phone,4,Single,1.791759469228055,0,12.0,1.6094379124341003,2.0794415416798357,1.0986122886681098,4.804021044733257
50049,0,3.0,Computer,1,2.772588722239781,Credit Card,Male,3.0,3,Laptop & Accessory,5,Married,1.0986122886681098,0,11.0,0.0,1.9459101490553132,2.3978952727983707,4.882801922586371
50050,0,18.0,Mobile Phone,3,2.3978952727983707,Debit Card,Female,1.0,3,Laptop & Accessory,5,Married,1.791759469228055,1,11.0,0.0,0.6931471805599453,1.3862943611198906,5.017279836814924
50051,0,29.0,Mobile Phone,1,2.70805020110221,Debit Card,Female,3.0,3,Mobile Phone,5,Married,1.791759469228055,1,18.0,0.6931471805599453,1.0986122886681098,1.0986122886681098,4.969813299576001
